x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.72500E-03,+42.23811E-03,+6.41160506E+00,-2.01315E-03,+5.63324439E+00
-20.70000E-03,+63.22305E-03,+6.43673065E+00,+18.08234E-03,+5.65818168E+00
-20.67500E-03,+87.05974E-03,+6.50026728E+00,+41.09114E-03,+5.72325718E+00
-20.65000E-03,+112.75195E-03,+6.59681241E+00,+66.20672E-03,+5.79464528E+00
-20.62500E-03,+139.87132E-03,+6.65318819E+00,+92.13263E-03,+5.84445700E+00
-20.60000E-03,+167.12381E-03,+6.76920579E+00,+119.51075E-03,+5.95089544E+00
-20.57500E-03,+194.24818E-03,+6.83732743E+00,+146.36376E-03,+6.02438771E+00
-20.55000E-03,+220.27205E-03,+6.94989051E+00,+171.91526E-03,+6.12002244E+00
-20.52500E-03,+244.60747E-03,+7.04926224E+00,+195.54717E-03,+6.23368433E+00
-20.50000E-03,+267.54717E-03,+7.18930626E+00,+217.85495E-03,+6.37539295E+00
-20.47500E-03,+288.68033E-03,+7.28374737E+00,+237.85495E-03,+6.44841426E+00
-20.45000E-03,+308.21550E-03,+7.42275467E+00,+256.41650E-03,+6.57325731E+00
-20.42500E-03,+325.60871E-03,+7.53999738E+00,+273.50318E-03,+6.69703250E+00
-20.40000E-03,+341.79338E-03,+7.65369064E+00,+288.57102E-03,+6.82843930E+00
-20.37500E-03,+356.39765E-03,+7.80409896E+00,+302.17026E-03,+6.95281142E+00
-20.35000E-03,+368.88634E-03,+7.92159290E+00,+314.05216E-03,+7.07812555E+00
-20.32500E-03,+380.17402E-03,+8.04901105E+00,+324.31975E-03,+7.22746578E+00
-20.30000E-03,+390.21924E-03,+8.19897971E+00,+333.51572E-03,+7.37705768E+00
-20.27500E-03,+399.08482E-03,+8.31521724E+00,+341.32602E-03,+7.48955763E+00
-20.25000E-03,+406.93155E-03,+8.45265426E+00,+348.42024E-03,+7.63622835E+00
-20.22500E-03,+413.91145E-03,+8.60755375E+00,+354.58481E-03,+7.78990305E+00
-20.20000E-03,+420.02325E-03,+8.72419977E+00,+359.67400E-03,+7.89744091E+00
