x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-22.37500E-03,+379.59E-06,+11.25164880E+00,-202.70E-06,+18.85968930E+00
-22.35000E-03,+382.00E-06,+11.07978950E+00,-181.80E-06,+18.85717666E+00
-22.32500E-03,+371.55E-06,+10.91245256E+00,-214.76E-06,+18.86973947E+00
-22.30000E-03,+369.94E-06,+10.78079435E+00,-201.90E-06,+18.85717666E+00
-22.27500E-03,+377.17E-06,+10.62702567E+00,-190.64E-06,+18.85717666E+00
-22.25000E-03,+375.57E-06,+10.44260356E+00,-206.72E-06,+18.86220187E+00
-22.22500E-03,+361.49E-06,+10.24561863E+00,-183.00E-06,+18.85717666E+00
-22.20000E-03,+371.55E-06,+10.07375933E+00,-209.94E-06,+18.86873436E+00
-22.17500E-03,+371.55E-06,+9.89335697E+00,-201.49E-06,+18.85717666E+00
-22.15000E-03,+379.18E-06,+9.75164851E+00,-180.59E-06,+18.85717666E+00
-22.12500E-03,+377.58E-06,+9.60591995E+00,-212.75E-06,+18.86973947E+00
-22.10000E-03,+387.22E-06,+9.44210111E+00,-197.47E-06,+18.85717666E+00
-22.07500E-03,+377.17E-06,+9.27375922E+00,-194.66E-06,+18.86973947E+00
-22.05000E-03,+373.96E-06,+9.14009079E+00,-227.22E-06,+18.85717666E+00
-22.02500E-03,+381.19E-06,+8.99687479E+00,-191.44E-06,+18.85717666E+00
-22.00000E-03,+381.60E-06,+8.82451307E+00,-222.80E-06,+18.86973947E+00
-21.97500E-03,+365.11E-06,+8.65265378E+00,-178.58E-06,+18.85717666E+00
-21.95000E-03,+366.32E-06,+8.51898524E+00,-189.84E-06,+18.85717666E+00
-21.92500E-03,+371.55E-06,+8.38883448E+00,-201.09E-06,+18.85717666E+00
-21.90000E-03,+364.71E-06,+8.23757839E+00,-170.54E-06,+18.86772932E+00
-21.87500E-03,+371.55E-06,+8.07828181E+00,-190.64E-06,+18.85717666E+00
-21.85000E-03,+379.99E-06,+7.96069377E+00,-190.64E-06,+18.85717666E+00
-21.82500E-03,+374.76E-06,+7.82250301E+00,-180.59E-06,+18.85717666E+00
-21.80000E-03,+365.92E-06,+7.66923657E+00,-201.09E-06,+18.85717666E+00
-21.77500E-03,+357.88E-06,+7.58732702E+00,-183.40E-06,+18.85717666E+00
-21.75000E-03,+355.46E-06,+7.43506591E+00,-176.57E-06,+18.86973947E+00
-21.72500E-03,+370.34E-06,+7.33556822E+00,-208.73E-06,+18.85717666E+00
-21.70000E-03,+350.24E-06,+7.22551817E+00,-171.75E-06,+18.85717666E+00
-21.67500E-03,+344.21E-06,+7.12501535E+00,-189.43E-06,+18.85717666E+00
-21.65000E-03,+341.39E-06,+7.01597043E+00,-182.60E-06,+18.85717666E+00
-21.62500E-03,+349.43E-06,+6.88230188E+00,-176.57E-06,+18.85717666E+00
-21.60000E-03,+341.39E-06,+6.80340751E+00,-198.68E-06,+18.85717666E+00
-21.57500E-03,+350.64E-06,+6.64411102E+00,-162.10E-06,+18.85818179E+00
-21.55000E-03,+349.84E-06,+6.47627140E+00,-187.42E-06,+18.85818157E+00
-21.52500E-03,+333.76E-06,+6.35667362E+00,-187.83E-06,+18.85717666E+00
-21.50000E-03,+315.26E-06,+6.17627160E+00,-168.53E-06,+18.86973947E+00
-21.47500E-03,+315.67E-06,+5.98330677E+00,-205.11E-06,+18.85717666E+00
-21.45000E-03,+293.96E-06,+5.77426143E+00,-190.64E-06,+18.86973947E+00
-21.42500E-03,+292.35E-06,+5.54411056E+00,-175.36E-06,+18.86973947E+00
-21.40000E-03,+281.49E-06,+5.33004020E+00,-190.24E-06,+18.85717666E+00
-21.37500E-03,+279.08E-06,+5.06571859E+00,-174.56E-06,+18.85717666E+00
-21.35000E-03,+271.04E-06,+4.83004042E+00,-193.45E-06,+18.86169916E+00
-21.32500E-03,+260.99E-06,+4.60541741E+00,-180.99E-06,+18.86973947E+00
-21.30000E-03,+267.83E-06,+4.39385950E+00,-183.81E-06,+18.85717666E+00
-21.27500E-03,+250.94E-06,+4.18833186E+00,-202.70E-06,+18.85717666E+00
-21.25000E-03,+271.04E-06,+4.00792996E+00,-170.54E-06,+18.85717677E+00
-21.22500E-03,+267.83E-06,+3.81295508E+00,-177.37E-06,+18.86772954E+00
-21.20000E-03,+264.21E-06,+3.64310583E+00,-180.19E-06,+18.85717666E+00
-21.17500E-03,+265.82E-06,+3.47928662E+00,-180.59E-06,+18.85717666E+00
-21.15000E-03,+274.66E-06,+3.36169867E+00,-190.64E-06,+18.85717666E+00
-21.12500E-03,+275.06E-06,+3.21144765E+00,-190.64E-06,+18.85717666E+00
-21.10000E-03,+290.34E-06,+3.07677416E+00,-201.09E-06,+18.86973947E+00
-21.07500E-03,+262.20E-06,+2.98079438E+00,-190.64E-06,+18.85717666E+00
-21.05000E-03,+273.86E-06,+2.82149789E+00,-176.17E-06,+18.86069412E+00
-21.02500E-03,+266.62E-06,+2.71094488E+00,-197.48E-06,+18.85717666E+00
-21.00000E-03,+281.09E-06,+2.60340744E+00,-188.63E-06,+18.85717666E+00
-20.97500E-03,+276.27E-06,+2.46622138E+00,-167.73E-06,+18.85717666E+00
-20.95000E-03,+280.29E-06,+2.37275417E+00,-196.67E-06,+18.85717666E+00
-20.92500E-03,+263.40E-06,+2.22702539E+00,-164.51E-06,+18.85717666E+00
-20.90000E-03,+286.32E-06,+2.15767866E+00,-170.94E-06,+18.85717666E+00
-20.87500E-03,+265.01E-06,+2.02049285E+00,-158.48E-06,+18.85717666E+00
-20.85000E-03,+276.67E-06,+1.94360830E+00,-149.23E-06,+18.85717666E+00
-20.82500E-03,+281.09E-06,+1.81496521E+00,-164.91E-06,+18.85717666E+00
-20.80000E-03,+282.30E-06,+1.72803027E+00,-140.39E-06,+18.85717666E+00
-20.77500E-03,+271.85E-06,+1.60893518E+00,-159.69E-06,+18.85717666E+00
-20.75000E-03,+279.08E-06,+1.48029157E+00,-168.53E-06,+18.85717666E+00
-20.72500E-03,+278.28E-06,+1.38682463E+00,-151.24E-06,+18.85717666E+00
-20.70000E-03,+280.69E-06,+1.23205062E+00,-185.01E-06,+18.86320694E+00
-20.67500E-03,+264.21E-06,+1.15265337E+00,-184.21E-06,+18.85717666E+00
-20.65000E-03,+286.32E-06,+990.84472E-03,-168.53E-06,+18.85717666E+00
-20.62500E-03,+260.99E-06,+829.53805E-03,-210.74E-06,+18.85717666E+00
-20.60000E-03,+264.21E-06,+722.50274E-03,-146.82E-06,+18.85717666E+00
-20.57500E-03,+260.99E-06,+573.75915E-03,-174.56E-06,+18.85717666E+00
-20.55000E-03,+256.17E-06,+401.89985E-03,-164.91E-06,+18.85717666E+00
